x,y,z
-265.745,1108.59,0
-272.595,1108.99,0
-279.778,1109.26,0
-286.548,1109.6,0
-293.948,1111.8,0
-301.181,1111.93,0
-307.466,1110.21,0
-314.166,1108.33,0
-321.093,1108.43,0
-328.492,1110.43,0
-336.351,1112.26,0
-343.334,1112.21,0
-350.54,1112.06,0
-357.543,1111.93,0
-364.219,1113.97,0
-371.254,1113.75,0
-377.974,1111.49,0
-385.564,1113.11,0
-393.612,1114.54,0
-401.371,1116.02,0
-408.686,1115.49,0
-415.096,1113.12,0
-422.911,1114.46,0
-430.969,1115.65,0
-438.111,1115.02,0
-446.323,1116.06,0
-454.135,1117.23,0
-462.404,1118.16,0
-469.603,1117.33,0
-477.487,1118.33,0
-485.825,1119.09,0
-493.869,1119.94,0
-502.153,1120.64,0
-509.28,1121.81,0
-515.724,1118.86,0
-523.847,1119.5,0
-532.209,1119.98,0
-541.25,1122.3,0
-549.778,1122.61,0
-557.009,1121.27,0
-565.572,1121.46,0
-575.657,1125.31,0
-583.963,1125.53,0
-592.506,1125.58,0
-599.913,1123.91,0
-608.487,1123.84,0
-616.867,1123.83,0
-626.563,1125.33,0
-634.884,1125.25,0
-643.46,1127.28,0
-652.83,1128.82,0
-661.66,1128.3,0
-670.182,1127.92,0
-681.002,1130.77,0
-689.579,1130.25,0
-697.12,1127.96,0
-708.059,1130.58,0
-717.765,1131.55,0
-726.749,1130.56,0
-735.315,1129.79,0
-744.328,1128.66,0
-755.25,1131.02,0
-763.08,1128.16,0
-767.297,1120.45,0
-774.051,1115.8,0
-787.21,1123.69,0
-805.448,1135.3,0
-815.466,1135.53,0
-825.839,1135.43,0
-837.099,1137.11,0
-846.234,1135.32,0
-856.364,1135.22,0
-867.952,1136.47,0
-879.368,1137.79,0
-891.154,1138.75,0
-901.344,1140.92,0
-911.967,1140.14,0
-922.176,1139.63,0
-936.647,1143.32,0
-948.314,1144.07,0
-960.239,1144.54,0
-971.984,1145.1,0
-982.793,1143.76,0
-995.807,1145.73,0
-1007.99,1145.7,0
-1019.89,1145.86,0
-1029.49,1145.32,0
-1042.79,1146.78,0
-1057.71,1149.39,0
-1069.76,1149.14,0
-1079.31,1145.67,0
-1092.78,1146.68,0
-1110.8,1151.58,0
-1124.39,1152.33,0
-1135.43,1149.89,0
-1147.68,1149,0
-1162.8,1150.82,0
-1174.13,1150.72,0
-1180.95,1143.72,0
-1180.03,1127.37,0
-1182.13,1116.44,0
-1184.47,1105.19,0
-1184.82,1093.05,0
-1184.01,1079.13,0
-1182.77,1065.61,0
-1184.6,1054.57,0
-1184.64,1042.46,0
-1186.39,1031.35,0
-1186.13,1019.4,0
-1185.88,1007.38,0
-1185.82,995.06,0
-1186.81,984.506,0
-1187.38,971.225,0
-1186.91,959.122,0
-1187.72,948.534,0
